Site,Sector ID,Include Channel1,Include Channel2,Include Channel3,Include Channel4,Include Channel5,Include Channel6,Exclude Channel1,Exclude Channel2
ABAA,ABAA0001,55,,,,,,,
ABAB,ABAB0002,37,71,112,,,,,
ABAC,ABAC0001,76,119,,,,,,
ABAD,ABAD0003,90,,,,,,,
ABAD,ABAD0004,16,,,,,,,
ABAE,ABAE0001,40,114,,,,,,
ABAE,ABAE0002,79,92,,,,,,
ABAF,ABAF0001,10,18,44,66,90,,,
ABAF,ABAF0003,13,47,64,68,,,,
ABAG,ABAG0001,10,16,52,,,,,
ABAG,ABAG0002,13,40,42,100,106,,,
ABAH,ABAH0001,61,95,,,,,,
abai,ABAI0001,23,,,,,,,
abai,ABAI0002,85,,,,,,,
ABAJ,ABAJ0002,34,,,,,,,
ABAJ,ABAJ0003,106,,,,,,,
ABAK,ABAK0001,13,23,,,,,,
ABAK,ABAK0003,28,116,,,,,,
ABAL,ABAL0001,37,52,58,92,,,,
ABAM,ABAM0001,64,68,,,,,,
ABAM,ABAM0002,58,95,,,,,,
ABAN,ABAN0001,13,,,,,,,
ABAN,ABAN0002,79,,,,,,,
ABAO,ABAO0001,7,85,,,,,,
ABAO,ABAO0003,18,,,,,,,
ABAP,ABAP0001,16,79,95,,,,,
ABAQ,ABAQ0001,100,,,,,,,
ABAR,ABAR0001,47,66,,,,,,
ABAS,ABAS0001,64,109,,,,,,
ABAT,ABAT0001,90,,,,,,,
ABAU,ABAU0001,58,,,,,,,
ABAV,ABAV0001,61,,,,,,,
ABAW,ABAW0001,4,,,,,,,
ABAX,ABAX0001,68,,,,,,,
ABAY,ABAY0001,16,,,,,,,
ABAY,ABAY0002,66,112,,,,,,
ABAZ,ABAZ0001,61,76,,,,,,
ABBA,ABBA0001,28,34,88,100,,,,
ABBA,ABBA0002,44,116,,,,,,
ABBB,ABBB0002,4,,,,,,,
ABBC,ABBC0002,109,,,,,,,
ABBD,ABBD0001,31,88,114,,,,,
ABBE,ABBE0001,7,37,,,,,,
ABBE,ABBE0002,82,,,,,,,
ABBF,ABBF0002,42,52,106,112,,,,
ABBF,ABBF0003,31,92,103,,,,,
ABBG,ABBG0001,88,,,,,,,
ABBH,ABBH0002,112,119,,,,,,
ABBI,ABBI0001,44,79,,,,,,
ABBJ,ABBJ0001,103,,,,,,,
ABBK,ABBK0001,55,,,,,,,
ABBK,ABBK0002,20,,,,,,,
ABBL,ABBL0001,20,,,,,,,
ABBM,ABBM0001,71,,,,,,,
ABBN,ABBN0001,10,42,44,,,,,
ABBO,ABBO0001,109,,,,,,,
ABBP,ABBP0001,82,,,,,,,
ABBQ,ABBQ0001,85,,,,,,,
ABBR,ABBR0001,34,100,,,,,,
ABBS,ABBS0001,10,,,,,,,
ABBT,ABBT0001,31,,,,,,,
ABBU,ABBU0002,55,,,,,,,
